haircut_name,face_shape,gender,hair_ratio,vertical_extent,hair_width,coverage_top,texture_estimate
French Crop,R,Male,0.632426042,0.141666667,270,18.55729167,44.18616762
French Crop,R,Male,0.593302419,0.127083333,274,18.3046875,44.94081899
French Crop,R,Male,0.583172898,0.116666667,269,18.15364583,35.75071901
French Crop,R,Male,0.569409673,0.125,274,17.10286458,44.77205552
French Crop,R,Male,0.559978095,0.125,275,16.24348958,46.23568261
French Crop,R,Male,0.549338143,0.133333333,278,14.81770833,43.91964115
French Crop,H,Male,0.516237109,0.03125,272,16.35416667,53.69559684
French Crop,H,Male,0.47143114,0.010416667,274,16.86588542,52.09419403
French Crop,H,Male,0.425454363,0.014583333,274,17.21223958,51.90090648
French Crop,H,Male,0.464558375,0.010416667,271,17.29427083,50.85600797
French Crop,H,Male,0.469095505,0.014583333,280,17.70182292,50.77684808
French Crop,H,Male,0.465166318,0.008333333,278,17.87630208,51.78792135
French Crop,H,Male,0.462194296,0.008333333,278,17.94661458,52.20554716
French Crop,H,Male,0.477404066,0.0125,282,18.08854167,44.13830201
French Crop,H,Male,0.454478853,0.016666667,276,19.67578125,51.26265202
French Crop,H,Male,0.463334405,0.020833333,278,17.94401042,50.60863183
French Crop,S,Male,0.491666667,0.175,183,0.986979167,11.59578045
French Crop,S,Male,0.667533201,0.064583333,182,1.001302083,9.816157431
French Crop,S,Male,0.689959363,0.072916667,181,1.514322917,10.2380333
French Crop,S,Male,0.654615374,0.066666667,184,1.278645833,9.64412062
French Crop,S,Male,0.622189619,0.058333333,186,0.890625,10.20164875
French Crop,S,Male,0.623277894,0.060416667,186,1.002604167,10.28514753
French Crop,S,Male,0.647294713,0.072916667,187,0.66015625,10.48578492
French Crop,S,Male,0.600390213,0.05625,186,0.479166667,9.538865284
French Crop,S,Male,0.645352556,0.06875,186,0.356770833,9.486479678
French Crop,S,Male,0.65511087,0.070833333,186,0.0,9.550800801
French Crop,S,Male,1.415893525,0.102083333,294,20.43619792,2.066348195
French Crop,S,Male,1.210993033,0.11875,290,21.07682292,1.834920635
French Crop,S,Male,0.891550712,0.164583333,294,20.48958333,1.4526338
French Crop,S,Male,0.790711943,0.164583333,289,20.41145833,1.550506116
French Crop,S,Male,0.56985395,0.16875,294,20.94661458,1.467964891
French Crop,S,Male,0.485486161,0.197916667,290,20.6875,1.943516392
French Crop,S,Male,0.44571606,0.208333333,290,20.4765625,2.389712263
French Crop,S,Male,0.408886417,0.2,293,19.92447917,1.946767533
French Crop,S,Male,0.39751484,0.197916667,294,19.73177083,1.695936818
French Crop,S,Male,0.388130993,0.202083333,292,19.85416667,1.638268156
French Crop,R,Male,0.366574207,0.158333333,214,9.639322917,7.640260766
French Crop,R,Male,0.449175047,0.15625,218,9.19140625,7.149378399
French Crop,R,Male,0.510072367,0.15,219,8.165364583,7.553412743
French Crop,R,Male,0.540277106,0.1625,221,8.055989583,7.495831532
French Crop,R,Male,0.521900754,0.147916667,224,6.9375,7.554638174
French Crop,R,Male,0.535777085,0.147916667,221,7.041666667,7.395865474
French Crop,R,Male,0.519500466,0.141666667,221,6.682291667,7.382253203
French Crop,R,Male,0.522730722,0.15,224,6.9921875,7.633157608
French Crop,R,Male,0.508830449,0.147916667,228,8.044270833,7.572195321
French Crop,R,Male,0.506687812,0.15625,232,10.11197917,7.063751763
French Crop,O,Male,1.100080091,0.625,281,15.19140625,60.73128382
French Crop,O,Male,0.947077842,0.572916667,284,15.02994792,52.9764395
French Crop,O,Male,0.963359093,0.483333333,283,15.35807292,59.66644999
French Crop,O,Male,0.935514857,0.452083333,280,14.82291667,60.07689736
French Crop,O,Male,0.45654136,0.0375,277,15.875,60.84837444
French Crop,O,Male,0.475243621,0.05,272,17.49479167,60.04462072
French Crop,O,Male,0.49492677,0.066666667,273,17.99609375,59.93156733
French Crop,O,Male,0.501733261,0.064583333,266,19.08333333,59.55042882
French Crop,O,Male,0.490212086,0.064583333,263,18.27604167,59.18565558
French Crop,O,Male,0.469773283,0.039583333,264,18.68229167,59.70320205
French Crop,S,Male,0.449930905,0.104166667,286,22.83723958,51.69049651
French Crop,S,Male,0.439352646,0.091666667,295,22.01692708,52.08154657
French Crop,S,Male,0.450126323,0.1,295,20.65494792,51.78626152
French Crop,S,Male,0.417026098,0.0625,293,20.19270833,51.88337457
French Crop,S,Male,0.438412385,0.085416667,294,19.45703125,51.06483301
French Crop,S,Male,0.443197637,0.095833333,292,18.31901042,48.82854527
French Crop,S,Male,0.452816409,0.1,297,18.11197917,52.07329294
French Crop,S,Male,0.423334498,0.077083333,296,19.41927083,52.10061823
French Crop,S,Male,0.438693538,0.0875,296,19.14192708,50.43968766
French Crop,S,Male,0.45050721,0.095833333,292,19.07421875,51.88224091
French Crop,O,Male,0.539908434,0.0375,265,22.80078125,14.07464017
French Crop,O,Male,0.567739667,0.09375,267,22.45052083,13.28218563
French Crop,O,Male,0.503608072,0.147916667,264,22.00390625,12.09549428
French Crop,O,Male,0.46056079,0.2,265,22.64453125,13.32089552
French Crop,O,Male,0.430132402,0.208333333,265,22.4296875,12.46301556
